"Perioden";"Regio's";"Totaal alle onderliggende doodsoorzaken (aantal)";"Nieuwvormingen (aantal)";"Ziekten van hart en vaatstelsel (aantal)";"Ziekten van ademhalingsstelsel (aantal)"
"2018";"Aa en Hunze";283;96;79;14
"2019";"Aa en Hunze";280;94;86;18
"2020";"Aa en Hunze";274;88;77;14
"2018";"Aalburg";84;27;23;8
"2019";"Aalburg";;;;
"2020";"Aalburg";;;;
"2018";"Aalsmeer";279;94;67;23
"2019";"Aalsmeer";270;83;68;27
"2020";"Aalsmeer";277;69;64;10
"2018";"Aalten";277;77;83;21
"2019";"Aalten";256;85;66;31
"2020";"Aalten";289;85;74;16
"2018";"Ter Aar";;;;
"2019";"Ter Aar";;;;
"2020";"Ter Aar";;;;
"2018";"Aarle-Rixtel";;;;
"2019";"Aarle-Rixtel";;;;
"2020";"Aarle-Rixtel";;;;
"2018";"Abcoude";;;;
"2019";"Abcoude";;;;
"2020";"Abcoude";;;;
"2018";"Achtkarspelen";252;78;69;33
"2019";"Achtkarspelen";234;72;67;25
"2020";"Achtkarspelen";235;88;71;17
"2018";"Akersloot";;;;
"2019";"Akersloot";;;;
"2020";"Akersloot";;;;
"2018";"Alblasserdam";154;49;36;22
"2019";"Alblasserdam";193;64;53;18
"2020";"Alblasserdam";192;49;41;9
"2018";"Albrandswaard";191;65;39;15
"2019";"Albrandswaard";157;49;51;10
"2020";"Albrandswaard";207;61;40;13
"2018";"Alkemade";;;;
"2019";"Alkemade";;;;
"2020";"Alkemade";;;;
"2018";"Alkmaar";898;299;193;73
"2019";"Alkmaar";899;283;200;74
"2020";"Alkmaar";969;294;198;52
"2018";"Almelo";690;227;169;59
"2019";"Almelo";702;200;175;61
"2020";"Almelo";795;235;161;54
"2018";"Almere";1016;344;227;78
"2019";"Almere";1025;332;235;75
"2020";"Almere";1084;348;210;61
"2018";"Alphen aan den Rijn";843;285;187;70
"2019";"Alphen aan den Rijn";869;271;196;84
"2020";"Alphen aan den Rijn";943;290;206;50
"2018";"Alphen en Riel";;;;
"2019";"Alphen en Riel";;;;
"2020";"Alphen en Riel";;;;
"2018";"Alphen-Chaam";76;26;25;7
"2019";"Alphen-Chaam";94;32;25;6
"2020";"Alphen-Chaam";104;34;23;6
"2018";"Altena";;;;
"2019";"Altena";444;113;126;46
"2020";"Altena";554;143;112;28
"2018";"Ambt Delden";;;;
"2019";"Ambt Delden";;;;
"2020";"Ambt Delden";;;;
"2018";"Ambt Montfort";;;;
"2019";"Ambt Montfort";;;;
"2020";"Ambt Montfort";;;;
"2018";"Ameland";50;14;21;3
"2019";"Ameland";26;7;13;0
"2020";"Ameland";23;10;5;3
"2018";"Amerongen";;;;
"2019";"Amerongen";;;;
"2020";"Amerongen";;;;
"2018";"Amersfoort";1126;327;275;77
"2019";"Amersfoort";1082;317;269;96
"2020";"Amersfoort";1153;320;275;64
"2018";"Ammerzoden";;;;
"2019";"Ammerzoden";;;;
"2020";"Ammerzoden";;;;
"2018";"Amstelveen";792;203;198;58
"2019";"Amstelveen";790;208;197;63
"2020";"Amstelveen";916;210;200;52
"2018";"Amsterdam";5374;1614;1175;477
"2019";"Amsterdam";5248;1579;1156;445
"2020";"Amsterdam";5763;1542;1077;337
"2018";"Andijk";;;;
"2019";"Andijk";;;;
"2020";"Andijk";;;;
"2018";"Angerlo";;;;
"2019";"Angerlo";;;;
"2020";"Angerlo";;;;
"2018";"Anloo";;;;
"2019";"Anloo";;;;
"2020";"Anloo";;;;
"2018";"Anna Paulowna";;;;
"2019";"Anna Paulowna";;;;
"2020";"Anna Paulowna";;;;
"2018";"Apeldoorn";1581;466;394;133
"2019";"Apeldoorn";1614;480;389;135
"2020";"Apeldoorn";1780;489;378;111
"2018";"Appingedam";143;45;35;13
"2019";"Appingedam";157;56;41;12
"2020";"Appingedam";157;61;39;8
"2018";"Arcen en Velden";;;;
"2019";"Arcen en Velden";;;;
"2020";"Arcen en Velden";;;;
"2018";"Arnemuiden";;;;
"2019";"Arnemuiden";;;;
"2020";"Arnemuiden";;;;
"2018";"Arnhem";1371;413;316;135
"2019";"Arnhem";1327;360;332;110
"2020";"Arnhem";1406;365;305;88
"2018";"Assen";698;172;185;59
"2019";"Assen";657;179;170;45
"2020";"Assen";683;207;154;47
"2018";"Asten";181;51;43;17
"2019";"Asten";151;40;40;15
"2020";"Asten";171;47;37;14
"2018";"Avereest";;;;
"2019";"Avereest";;;;
"2020";"Avereest";;;;
"2018";"Axel";;;;
"2019";"Axel";;;;
"2020";"Axel";;;;
"2018";"Baarle-Nassau";68;23;16;9
"2019";"Baarle-Nassau";70;24;16;6
"2020";"Baarle-Nassau";89;20;32;6
"2018";"Baarn";306;70;77;38
"2019";"Baarn";317;74;79;24
"2020";"Baarn";340;84;66;20
"2018";"Bakel en Milheeze";;;;
"2019";"Bakel en Milheeze";;;;
"2020";"Bakel en Milheeze";;;;
"2018";"Barendrecht";334;88;75;35
"2019";"Barendrecht";309;108;88;29
"2020";"Barendrecht";392;115;87;32
"2018";"Barneveld";424;129;119;35
"2019";"Barneveld";466;140;114;44
"2020";"Barneveld";470;119;100;31
"2018";"Bathmen";;;;
"2019";"Bathmen";;;;
"2020";"Bathmen";;;;
"2018";"Bedum";104;33;30;5
"2019";"Bedum";;;;
"2020";"Bedum";;;;
"2018";"Beek (L.)";155;52;42;11
"2019";"Beek (L.)";184;64;52;18
"2020";"Beek (L.)";201;48;51;15
"2018";"Beek en Donk";;;;
"2019";"Beek en Donk";;;;
"2020";"Beek en Donk";;;;
"2018";"Beekdaelen";;;;
"2019";"Beekdaelen";381;112;106;36
"2020";"Beekdaelen";464;125;105;37
"2018";"Beemster";72;24;16;2
"2019";"Beemster";62;23;12;7
"2020";"Beemster";71;16;20;5
"2018";"Beesel";129;41;27;7
"2019";"Beesel";117;37;31;11
"2020";"Beesel";125;40;26;9
"2018";"Beilen";;;;
"2019";"Beilen";;;;
"2020";"Beilen";;;;
"2018";"Belfeld";;;;
"2019";"Belfeld";;;;
"2020";"Belfeld";;;;
"2018";"Bellingwedde";;;;
"2019";"Bellingwedde";;;;
"2020";"Bellingwedde";;;;
"2018";"Bemmel";;;;
"2019";"Bemmel";;;;
"2020";"Bemmel";;;;
"2018";"Bennebroek";;;;
"2019";"Bennebroek";;;;
"2020";"Bennebroek";;;;
"2018";"Berg en Dal";436;119;122;43
"2019";"Berg en Dal";447;140;108;44
"2020";"Berg en Dal";452;120;95;30
"2018";"Bergambacht";;;;
"2019";"Bergambacht";;;;
"2020";"Bergambacht";;;;
"2018";"Bergeijk";151;54;33;17
"2019";"Bergeijk";142;42;36;13
"2020";"Bergeijk";178;53;49;8
"2018";"Bergen (L.)";135;32;42;16
"2019";"Bergen (L.)";152;61;35;11
"2020";"Bergen (L.)";132;44;31;4
"2018";"Bergen (NH.)";414;116;96;34
"2019";"Bergen (NH.)";424;124;101;32
"2020";"Bergen (NH.)";478;132;101;28
"2018";"Bergen op Zoom";641;197;137;62
"2019";"Bergen op Zoom";621;194;148;58
"2020";"Bergen op Zoom";789;216;156;34
"2018";"Bergeyk";;;;
"2019";"Bergeyk";;;;
"2020";"Bergeyk";;;;
"2018";"Bergh";;;;
"2019";"Bergh";;;;
"2020";"Bergh";;;;
"2018";"Bergschenhoek";;;;
"2019";"Bergschenhoek";;;;
"2020";"Bergschenhoek";;;;
"2018";"Berkel en Rodenrijs";;;;
"2019";"Berkel en Rodenrijs";;;;
"2020";"Berkel en Rodenrijs";;;;
"2018";"Berkel-Enschot";;;;
"2019";"Berkel-Enschot";;;;
"2020";"Berkel-Enschot";;;;
"2018";"Berkelland";480;145;130;52
"2019";"Berkelland";479;167;119;55
"2020";"Berkelland";480;136;129;25
"2018";"Bernheze";303;93;75;29
"2019";"Bernheze";278;86;75;22
"2020";"Bernheze";375;68;76;18
"2018";"Bernisse";;;;
"2019";"Bernisse";;;;
"2020";"Bernisse";;;;
"2018";"Best";226;83;48;20
"2019";"Best";249;71;59;18
"2020";"Best";278;89;73;7
"2018";"Beuningen";206;66;46;19
"2019";"Beuningen";238;101;63;15
"2020";"Beuningen";194;57;45;7
"2018";"Beverwijk";430;121;121;49
"2019";"Beverwijk";399;107;106;43
"2020";"Beverwijk";456;138;121;29
"2018";"het Bildt";;;;
"2019";"het Bildt";;;;
"2020";"het Bildt";;;;
"2018";"De Bilt";527;138;127;53
"2019";"De Bilt";514;142;142;21
"2020";"De Bilt";541;136;114;35
"2018";"Binnenmaas";282;94;71;30
"2019";"Binnenmaas";;;;
"2020";"Binnenmaas";;;;
"2018";"Bladel";201;69;47;23
"2019";"Bladel";171;44;48;15
"2020";"Bladel";231;57;43;17
"2018";"Bladel en Netersel";;;;
"2019";"Bladel en Netersel";;;;
"2020";"Bladel en Netersel";;;;
"2018";"Blaricum";100;31;20;5
"2019";"Blaricum";85;29;25;6
"2020";"Blaricum";85;32;19;4
"2018";"Bleiswijk";;;;
"2019";"Bleiswijk";;;;
"2020";"Bleiswijk";;;;
"2018";"Bloemendaal";290;71;83;30
"2019";"Bloemendaal";299;66;89;19
"2020";"Bloemendaal";315;85;81;15
"2018";"Boarnsterhim";;;;
"2019";"Boarnsterhim";;;;
"2020";"Boarnsterhim";;;;
"2018";"Bodegraven";;;;
"2019";"Bodegraven";;;;
"2020";"Bodegraven";;;;
"2018";"Bodegraven-Reeuwijk";262;95;77;9
"2019";"Bodegraven-Reeuwijk";272;106;64;12
"2020";"Bodegraven-Reeuwijk";281;82;55;13
"2018";"Boekel";86;29;16;8
"2019";"Boekel";90;27;23;9
"2020";"Boekel";109;34;12;8
"2018";"Ten Boer";111;24;27;6
"2019";"Ten Boer";;;;
"2020";"Ten Boer";;;;
"2018";"Bolsward";;;;
"2019";"Bolsward";;;;
"2020";"Bolsward";;;;
"2018";"Borculo";;;;
"2019";"Borculo";;;;
"2020";"Borculo";;;;
"2018";"Borger";;;;
"2019";"Borger";;;;
"2020";"Borger";;;;
"2018";"Borger-Odoorn";255;82;69;24
"2019";"Borger-Odoorn";262;79;71;20
"2020";"Borger-Odoorn";278;92;69;15
"2018";"Born";;;;
"2019";"Born";;;;
"2020";"Born";;;;
"2018";"Borne";193;57;56;22
"2019";"Borne";211;81;48;17
"2020";"Borne";244;70;55;21
"2018";"Borsele";182;60;37;15
"2019";"Borsele";177;60;42;12
"2020";"Borsele";182;58;47;11
"2018";"Boskoop";;;;
"2019";"Boskoop";;;;
"2020";"Boskoop";;;;
"2018";"Boxmeer";264;79;79;35
"2019";"Boxmeer";265;68;71;23
"2020";"Boxmeer";321;97;73;16
"2018";"Boxtel";329;96;81;33
"2019";"Boxtel";306;76;70;27
"2020";"Boxtel";373;94;67;20
"2018";"Brakel";;;;
"2019";"Brakel";;;;
"2020";"Brakel";;;;
"2018";"Breda";1672;483;427;169
"2019";"Breda";1691;489;444;143
"2020";"Breda";1835;506;388;113
"2018";"Brederwiede";;;;
