"﻿""Perioden""","""Regio's""","""Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/Jonger dan 5 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/5 tot 10 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/10 tot 15 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/15 tot 20 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/20 tot 25 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/25 tot 45 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/45 tot 65 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/65 tot 80 jaar (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/80 jaar of ouder (aantal)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/Jonger dan 5 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/5 tot 10 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/10 tot 15 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/15 tot 20 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/20 tot 25 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/25 tot 45 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/45 tot 65 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/65 tot 80 jaar (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/80 jaar of ouder (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Demografische druk/Totale druk (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Demografische druk/Groene druk (%)""","""Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Demografische druk/Grijze druk (%)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorte (aantal)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorte, relatief (per 1 000 inwoners)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Sterfte (aantal)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Sterfte, relatief (per 1 000 inwoners)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorteoverschot (aantal)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorteoverschot, relatief (per 1 000 inwoners)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Nieuwvormingen (aantal)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Ziekten van hart en vaatstelsel (aantal)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Ziekten van ademhalingsstelsel (aantal)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Uitwendige doodsoorzaken (aantal)""","""Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Overige doodsoorzaken (aantal)""","""Bevolking/Bevolkingsontwikkeling/Bevolkingsgroei/Bevolkingsgroei, relatief (per 1 000 inwoners)""","""Onderwijs/Naar woongemeente/Gediplomeerden/Voortgezet onderwijs (aantal)""","""Onderwijs/Naar woongemeente/Gediplomeerden/Middelbaar beroepsonderwijs (aantal)""","""Onderwijs/Naar woongemeente/Gediplomeerden/Hoger beroepsonderwijs bachelor (aantal)""","""Onderwijs/Naar woongemeente/Gediplomeerden/Wo master/doctoraal (aantal)""","""Arbeid/Banen van werknemers, relatief/A Landbouw, bosbouw en visserij (%)""","""Arbeid/Banen van werknemers, relatief/B-F Nijverheid en energie (%)""","""Arbeid/Banen van werknemers, relatief/G-N Commerciële dienstverlening (%)""","""Arbeid/Banen van werknemers, relatief/O-U Niet-commerciële dienstverlening (%)""","""Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpraktijk (km)""","""Nabijheid voorzieningen/Gezondheid/Aantal huisartsenpraktijken binnen 3 km (aantal)""","""Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpost (km)""","""Nabijheid voorzieningen/Gezondheid/Afstand tot ziekenhuis (km)""","""Nabijheid voorzieningen/Gezondheid/Aantal ziekenhuizen binnen 20 km (aantal)"""
"""2019""","""Aa en Hunze""",25386,12659,12727,922,1174,1366,1579,1031,4347,8354,5107,1506,"3,6","4,6","5,4","6,2","4,1","17,1","32,9","20,1","5,9","84,9","36,7","48,2",176,"6,9",280,11,-104,"-4,1",94,86,18,14,68,"2,3",269,258,58,8,1,10,45,44,"2,4","1,3","11,1","11,1","1,4"
"""2020""","""Aa en Hunze""",25445,12708,12737,946,1160,1354,1545,1079,4375,8249,5166,1571,"3,7","4,6","5,3","6,1","4,2","17,2","32,4","20,3","6,2","85,7","36,5","49,2",167,"6,6",274,"10,8",-107,"-4,2",88,77,14,20,75,"-1,8",,,,,1,8,43,47,"2,4","1,1","11,1","11,1","1,4"
"""2021""","""Aa en Hunze""",25399,12709,12690,937,1137,1309,1508,1103,4463,8060,5265,1617,"3,7","4,5","5,2","5,9","4,3","17,6","31,7","20,7","6,4","86,4","35,9","50,5",,,,,,,,,,,,,,,,,,,,,,,,,
"""2019""","""Aalburg""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2020""","""Aalburg""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2021""","""Aalburg""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2019""","""Aalsmeer""",31728,15694,16034,1506,1970,2246,2046,1633,7073,9424,4371,1459,"4,7","6,2","7,1","6,4","5,1","22,3","29,7","13,8","4,6",75,"42,8","32,2",236,"7,4",270,"8,5",-34,"-1,1",83,68,27,14,78,"4,1",411,231,86,37,3,11,74,13,"0,9","3,7","9,6","9,6","7,4"
"""2020""","""Aalsmeer""",31859,15815,16044,1432,1928,2217,2146,1606,7073,9545,4402,1510,"4,5","6,1",7,"6,7",5,"22,2",30,"13,8","4,7","74,8","42,4","32,4",271,"8,5",277,"8,7",-6,"-0,2",69,64,10,20,114,"4,1",,,,,,,72,14,"0,9","3,2","9,8","9,8","7,3"
"""2021""","""Aalsmeer""",31991,15913,16078,1411,1847,2188,2182,1662,7069,9639,4426,1567,"4,4","5,8","6,8","6,8","5,2","22,1","30,1","13,8","4,9","74,1","41,5","32,6",,,,,,,,,,,,,,,,,,,,,,,,,
"""2019""","""Aalten""",27011,13559,13452,1197,1415,1682,1685,1345,5415,8308,4501,1463,"4,4","5,2","6,2","6,2",5,20,"30,8","16,7","5,4","79,3","39,7","39,6",240,"8,9",256,"9,5",-16,"-0,6",85,66,31,10,64,"4,1",334,258,96,10,3,27,40,30,"1,3","2,7","14,4","14,4","0,8"
"""2020""","""Aalten""",27121,13649,13472,1205,1353,1659,1689,1364,5438,8301,4641,1471,"4,4",5,"6,1","6,2",5,"20,1","30,6","17,1","5,4","79,6","39,1","40,5",254,"9,4",289,"10,7",-35,"-1,3",85,74,16,14,100,0,,,,,3,30,37,31,"1,5","2,6","14,4","14,4","0,8"
"""2021""","""Aalten""",27120,13655,13465,1224,1330,1649,1628,1383,5465,8244,4715,1482,"4,5","4,9","6,1",6,"5,1","20,2","30,4","17,4","5,5","79,7","38,6","41,1",,,,,,,,,,,,,,,,,,,,,,,,,
"""2019""","""Ter Aar""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2020""","""Ter Aar""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2021""","""Ter Aar""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2019""","""Aarle-Rixtel""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2020""","""Aarle-Rixtel""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2021""","""Aarle-Rixtel""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2019""","""Abcoude""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2020""","""Abcoude""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2021""","""Abcoude""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2019""","""Achtkarspelen""",27852,14167,13685,1423,1636,1877,1892,1468,6190,7908,4252,1206,"5,1","5,9","6,7","6,8","5,3","22,2","28,4","15,3","4,3","78,9","43,9","35,1",288,"10,3",234,"8,4",54,"1,9",72,67,25,13,57,"-0,3",382,366,76,9,2,25,44,28,"1,6","1,8",14,"15,7","0,7"
"""2020""","""Achtkarspelen""",27843,14180,13663,1412,1601,1827,1914,1488,6190,7844,4321,1246,"5,1","5,8","6,6","6,9","5,3","22,2","28,2","15,5","4,5","79,4","43,5","35,9",277,"9,9",235,"8,4",42,"1,5",88,71,17,10,49,2,,,,,2,27,41,29,"1,6","1,6",14,"15,7","0,7"
"""2021""","""Achtkarspelen""",27900,14217,13683,1403,1528,1826,1898,1530,6205,7784,4445,1281,5,"5,5","6,5","6,8","5,5","22,2","27,9","15,9","4,6","79,8","42,9","36,9",,,,,,,,,,,,,,,,,,,,,,,,,
