"Status cijfer";"Perioden";"Regio's";"Inwoners naar geslacht en leeftijd/Mannen/Totaal mannen (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/Jonger dan 20 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/20 tot 65 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/65 tot 75 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/75 tot 85 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/85 jaar of ouder (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/Totaal vrouwen (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/Jonger dan 20 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/20 tot 65 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/65 tot 75 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/75 tot 85 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/85 jaar of ouder (aantal)";"Minderheden (aantal)";"Banen van werknemers (x 1 000)";"Provinciale wegen (km)";"Inwoners in zorginstellingen (aantal)"
"Definitief";"2019";"Aa en Hunze";12659;2623;6912;1952;941;231;12727;2418;6820;1959;1079;451;300;;;520
"Definitief";"2019";"Aalburg";;;;;;;;;;;;;;;;
"Definitief";"2019";"Aalsmeer";15694;3973;9031;1585;869;236;16034;3795;9099;1628;1035;477;1460;;;360
"Definitief";"2019";"Aalten";13559;3109;7686;1680;888;196;13452;2870;7382;1683;1044;473;570;;;460
"Definitief";"2019";"Abcoude";;;;;;;;;;;;;;;;
"Definitief";"2019";"Achtkarspelen";14167;3603;7994;1688;721;161;13685;3225;7572;1603;916;369;290;;;240
"Definitief";"2019";"Alblasserdam";9853;2656;5439;991;590;177;10216;2533;5481;1075;790;337;1160;;;160
"Definitief";"2019";"Albrandswaard";12518;3195;7320;1275;549;179;12753;2984;7436;1305;716;312;2345;;;570
"Definitief";"2019";"Alkemade";;;;;;;;;;;;;;;;
"Definitief";"2019";"Alkmaar";53695;11939;32189;6028;2755;784;54863;11078;32437;6514;3389;1445;8345;;;1020
"Definitief";"2019";"Almelo";36421;8449;21481;3994;1996;501;36428;8035;20713;4163;2414;1103;7925;;;890
"Definitief";"2019";"Almere";103082;27127;64604;8032;2607;712;104822;26071;66668;7649;3155;1279;43910;;;1650
"Definitief";"2019";"Alphen aan den Rijn";55283;12974;32587;6140;2828;754;55703;12543;32050;6306;3426;1378;7755;;;1320
"Definitief";"2019";"Alphen-Chaam";5194;1117;2938;677;381;81;4955;1014;2794;649;355;143;125;;;120
"Definitief";"2019";"Altena";27876;7009;15804;3195;1525;343;27510;6483;15341;3183;1756;747;710;;;710
"Definitief";"2019";"Ameland";1819;376;1058;239;124;22;1854;373;1038;264;130;49;10;;;30
"Definitief";"2019";"Amersfoort";77037;20131;46649;6517;2867;873;79249;19023;47505;6936;3869;1916;16255;;;1930
"Definitief";"2019";"Amstelveen";43650;10570;25677;4138;2373;892;47188;10215;26975;4776;3308;1914;7265;;;740
"Definitief";"2019";"Amsterdam";427787;84650;293245;32381;13891;3620;435178;81805;295285;33612;16986;7490;208335;;;10040
"Definitief";"2019";"Andijk";;;;;;;;;;;;;;;;
"Definitief";"2019";"Anna Paulowna";;;;;;;;;;;;;;;;
"Definitief";"2019";"Apeldoorn";80880;18614;46944;9410;4620;1292;81565;17060;46131;10033;5654;2687;8705;;;3480
"Definitief";"2019";"Appingedam";5720;1257;3151;797;409;106;6001;1164;3251;831;540;215;600;;;250
"Definitief";"2019";"Arcen en Velden";;;;;;;;;;;;;;;;
"Definitief";"2019";"Arnhem";79573;17635;51030;6951;3086;871;79692;16743;49737;7428;3880;1904;20165;;;2690
"Definitief";"2019";"Assen";33643;8162;19377;3761;1811;532;34320;7489;19459;4000;2349;1023;2235;;;1490
"Definitief";"2019";"Asten";8592;1891;4902;1133;547;119;8118;1693;4538;1028;634;225;285;;;220
"Definitief";"2019";"Baarle-Nassau";3477;660;1934;527;281;75;3370;611;1815;506;319;119;110;;;70
"Definitief";"2019";"Baarn";11985;2785;6693;1471;769;267;12782;2576;6938;1669;1073;526;1190;;;1030
"Definitief";"2019";"Barendrecht";23999;6484;13683;2330;1167;335;24674;6088;14070;2538;1412;566;5760;;;450
"Definitief";"2019";"Barneveld";28917;8578;16040;2543;1374;382;29054;8116;15750;2653;1723;812;1655;;;740
"Definitief";"2019";"Bedum";;;;;;;;;;;;;;;;
"Definitief";"2019";"Beek (L.)";7774;1377;4514;1101;617;165;8155;1424;4539;1145;742;305;455;;;130
"Definitief";"2019";"Beekdaelen";17785;3384;10095;2575;1388;343;17942;3127;9891;2622;1620;682;610;;;380
"Definitief";"2019";"Beemster";4849;1156;2731;599;272;91;4899;1063;2840;542;330;124;220;;;210
"Definitief";"2019";"Beesel";6807;1444;3903;897;460;103;6712;1297;3759;914;523;219;600;;;80
"Definitief";"2019";"Bellingwedde";;;;;;;;;;;;;;;;
"Definitief";"2019";"Bennebroek";;;;;;;;;;;;;;;;
"Definitief";"2019";"Berg en Dal";17324;3577;9843;2383;1188;333;17474;3220;9687;2408;1463;696;730;;;840
"Definitief";"2019";"Bergambacht";;;;;;;;;;;;;;;;
"Definitief";"2019";"Bergeijk";9440;2005;5470;1199;625;141;9051;1858;5095;1137;704;257;185;;;110
"Definitief";"2019";"Bergen (L.)";6575;1223;3842;948;463;99;6565;1312;3698;866;485;204;170;;;140
"Definitief";"2019";"Bergen (NH.)";14467;2788;7316;2514;1414;435;15507;2720;7576;2807;1627;777;480;;;780
"Definitief";"2019";"Bergen op Zoom";33152;7152;19360;4129;2038;473;33659;6779;19278;4201;2374;1027;7985;;;1380
