"""Leeftijd""","""Beroepen en specialismen""","""Sociaaleconomische categorie""","""Perioden""","""Regio's""","""Medisch geschoolden (aantal)"""
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Groningen (PV)""",14490
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Fryslân (PV)""",12270
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Drenthe (PV)""",10665
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Overijssel (PV)""",22810
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Flevoland (PV)""",5735
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Gelderland (PV)""",41415
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Utrecht (PV)""",29725
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Noord-Holland (PV)""",50095
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Zuid-Holland (PV)""",60440
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Zeeland (PV)""",6400
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Noord-Brabant (PV)""",44310
"""Totaal leeftijd""","""Totaal BIG-geregistreerde beroepen""","""Werknemer of zelfstandige""","""2020*""","""Limburg (PV)""",21925
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Groningen (PV)""",240
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Fryslân (PV)""",115
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Drenthe (PV)""",145
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Overijssel (PV)""",290
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Flevoland (PV)""",65
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Gelderland (PV)""",450
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Utrecht (PV)""",905
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Noord-Holland (PV)""",710
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Zuid-Holland (PV)""",950
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Zeeland (PV)""",35
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Noord-Brabant (PV)""",510
"""Totaal leeftijd""","""Apotheker""","""Werknemer of zelfstandige""","""2020*""","""Limburg (PV)""",175
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Groningen (PV)""",20
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Fryslân (PV)""",20
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Drenthe (PV)""",30
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Overijssel (PV)""",30
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Flevoland (PV)""",0
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Gelderland (PV)""",60
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Utrecht (PV)""",105
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Noord-Holland (PV)""",95
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Zuid-Holland (PV)""",105
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Zeeland (PV)""",5
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Noord-Brabant (PV)""",85
"""Totaal leeftijd""","""Ziekenhuisapotheker""","""Werknemer of zelfstandige""","""2020*""","""Limburg (PV)""",25
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Groningen (PV)""",1350
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Fryslân (PV)""",345
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Drenthe (PV)""",275
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Overijssel (PV)""",985
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Flevoland (PV)""",190
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Gelderland (PV)""",2520
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Utrecht (PV)""",3155
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Noord-Holland (PV)""",5910
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Zuid-Holland (PV)""",5365
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Zeeland (PV)""",110
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Noord-Brabant (PV)""",2005
"""Totaal leeftijd""","""Basisarts""","""Werknemer of zelfstandige""","""2020*""","""Limburg (PV)""",1375
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Groningen (PV)""",475
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Fryslân (PV)""",400
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Drenthe (PV)""",365
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Overijssel (PV)""",735
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Flevoland (PV)""",145
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Gelderland (PV)""",1700
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Utrecht (PV)""",1445
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Noord-Holland (PV)""",2355
