"﻿""Donorregistratie""","""Perioden""","""Regio's""","""Donorregister, vastgelegde keuze (x 1 000)"""
"""Totaal wel of niet geregistreerd""","""2019""","""Aa en Hunze""","22,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Aa en Hunze""","22,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Aa en Hunze""","22,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Aalsmeer""","27,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Aalsmeer""","27,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Aalsmeer""","27,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Aalten""","23,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Aalten""","23,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Aalten""","23,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Achtkarspelen""",24
"""Totaal wel of niet geregistreerd""","""2020""","""Achtkarspelen""","24,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Achtkarspelen""","24,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Alblasserdam""","16,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Alblasserdam""",17
"""Totaal wel of niet geregistreerd""","""2021*""","""Alblasserdam""","17,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Albrandswaard""","21,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Albrandswaard""",22
"""Totaal wel of niet geregistreerd""","""2021*""","""Albrandswaard""","22,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Alkmaar""","95,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Alkmaar""",96
"""Totaal wel of niet geregistreerd""","""2021*""","""Alkmaar""","96,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Almelo""","63,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Almelo""","64,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Almelo""","64,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Almere""","176,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Almere""","180,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Almere""","183,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Alphen aan den Rijn""","96,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Alphen aan den Rijn""","97,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Alphen aan den Rijn""","98,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Alphen-Chaam""",9
"""Totaal wel of niet geregistreerd""","""2020""","""Alphen-Chaam""",9
"""Totaal wel of niet geregistreerd""","""2021*""","""Alphen-Chaam""","9,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Altena""","47,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Altena""","48,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Altena""","48,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Ameland""","3,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Ameland""","3,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Ameland""","3,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Amersfoort""","133,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Amersfoort""","134,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Amersfoort""","135,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Amstelveen""","77,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Amstelveen""","78,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Amstelveen""",78
"""Totaal wel of niet geregistreerd""","""2019""","""Amsterdam""","758,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Amsterdam""","768,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Amsterdam""","771,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Apeldoorn""","142,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Apeldoorn""","143,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Apeldoorn""","144,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Arnhem""","139,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Arnhem""","141,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Arnhem""","142,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Assen""","59,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Assen""","60,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Assen""","60,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Asten""","14,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Asten""","14,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Asten""",15
"""Totaal wel of niet geregistreerd""","""2019""","""Baarle-Nassau""","6,1"
