"Geslacht";"Leeftijd";"Geneesmiddelengroep (ATC)";"Perioden";"Regio's";"Personen met geneesmiddelen, relatief (%)"
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Aa en Hunze";44,33
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Aa en Hunze";39
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Aalburg";
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Aalburg";
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Aalsmeer";48,55
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Aalsmeer";41,06
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Aalten";45,61
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Aalten";37,99
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Achtkarspelen";47,11
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Achtkarspelen";41,51
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Alblasserdam";51,8
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Alblasserdam";46,83
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Albrandswaard";50,33
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Albrandswaard";44,15
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Alkmaar";43,07
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Alkmaar";37,39
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Almelo";52,39
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Almelo";45,99
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Almere";49,25
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Almere";43,94
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Alphen aan den Rijn";48,35
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Alphen aan den Rijn";41,05
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Alphen-Chaam";43,73
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Alphen-Chaam";38,03
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Altena";45,55
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Altena";38,82
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Ameland";39,12
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Ameland";33,33
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Amersfoort";45,89
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Amersfoort";40,34
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Amstelveen";38,74
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Amstelveen";33,71
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Amsterdam";45,99
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Amsterdam";39,97
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Apeldoorn";44,24
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Apeldoorn";39,46
"Mannen";"0 tot 15 jaar";"Totaal";"2019";"Appingedam";48,57
"Mannen";"0 tot 15 jaar";"Totaal";"2020*";"Appingedam";41,38
