"﻿""Geslacht""","""Leeftijd""","""Soort opname""","""Diagnose""","""Perioden""","""Regio's""","""Opnamen per 10 000 inwoners (per 10 000 inwoners)"""
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Aa en Hunze""","6874,8"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Aalburg""",
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Aalsmeer""","7042,1"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Aalten""","7558,6"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Achtkarspelen""","9019,8"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Alblasserdam""","7553,6"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Albrandswaard""","7207,2"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Alkmaar""",6959
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Almelo""","7862,1"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Almere""","8498,5"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Alphen aan den Rijn""","7245,8"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Alphen-Chaam""","7435,9"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Altena""","8080,8"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Ameland""",
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Amersfoort""","6762,3"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Amstelveen""",7528
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Amsterdam""","6812,6"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Apeldoorn""","8003,5"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Appingedam""","9079,8"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Arnhem""",10434
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Assen""","8800,5"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Asten""","7777,7"
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Baarle-Nassau""",
"""Mannen""","""0 jaar""","""Totaal opnamen""","""Totaal alle diagnosen""","""2019*""","""Baarn""","7016,1"
