Subject,Predicate,Object
s-Gravenhage,hasNumberOfDivorced-2021,51572.0
s-Gravenhage,hasNumberOfMarried-2021,162437.0
s-Gravenhage,hasNumberOfMen-2021,272686.0
s-Gravenhage,hasNumberOfPeopleInAgeGroup-0-15-2021,91370.0
s-Gravenhage,hasNumberOfPeopleInAgeGroup-15-25-2021,68313.0
s-Gravenhage,hasNumberOfPeopleInAgeGroup-25-45-2021,164895.0
s-Gravenhage,hasNumberOfPeopleInAgeGroup-45-65-2021,142397.0
s-Gravenhage,hasNumberOfPeopleInAgeGroup-65-and-older-2021,81345.0
s-Gravenhage,hasNumberOfUnmarried-2021,315165.0
s-Gravenhage,hasNumberOfWidowed-2021,19146.0
s-Gravenhage,hasNumberOfWomen-2021,275634.0
s-Gravenhage,hasPopulationDensityPerSquareKm-2021,6650.0
s-Gravenhage,hasPopulationSize-2021,548320.0
s-Hertogenbosch,"donorRegisterValues-avg-x1000-2019Until2021,inDonorRegister",85.3
s-Hertogenbosch,"donorRegisterValues-avg-x1000-2019Until2021,notInDonorRegister",50.800000000000004
s-Hertogenbosch,"donorRegisterValues-avg-x1000-2019Until2021,total",136.0666666666667
s-Hertogenbosch,"hasAdmissions-x1000-2019,Men,0-years",704.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Men,1-20-years",78.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Men,20-45-years",43.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Men,45-65-years",914.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Men,65-80-years",355.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Men,80-years-or-older",552.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Women,0-years",431.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Women,1-20-years",34.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Women,20-45-years",393.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Women,45-65-years",124.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Women,65-80-years",530.0
s-Hertogenbosch,"hasAdmissions-x1000-2019,Women,80-years-or-older",423.0
s-Hertogenbosch,hasBirthSurplus-avg-2019Until2021,73.09408602150538
s-Hertogenbosch,hasDeceased-avg-2019Until2021,1440.0
s-Hertogenbosch,hasDepartureToAnotherMunicipality-avg-2019Until2021,7028.0
s-Hertogenbosch,hasDiseasesOfTheCardiovascularSystem-avg-2018Until2020,313.6666666666667
s-Hertogenbosch,hasDiseasesOfTheRespiratorySystem-avg-2018Until2020,104.33333333333333
s-Hertogenbosch,hasDistanceToGPPractice-avg-km-2019Until2021,1.0021505376344086
s-Hertogenbosch,hasDistanceToGeneralPracticeCenter-avg-km-2019Until2021,6.591397849462365
s-Hertogenbosch,hasDistanceToHospital-avg-km-2019Until2021,6.973924731182795
s-Hertogenbosch,hasExternalCausesOfDeath-avg-2019Until2021,61.04569892473118
s-Hertogenbosch,hasGraduatesOfDoctorate-avg-2019Until2021,118.0752688172043
s-Hertogenbosch,hasGraduatesOfHigherVocationalEducation-avg-2019Until2021,366.7096774193548
s-Hertogenbosch,hasGraduatesOfPost-SecondaryVocationalEducation-avg-2019Until2021,626.8817204301075
s-Hertogenbosch,hasGraduatesOfSecondaryEducation-avg-2019Until2021,817.0967741935483
s-Hertogenbosch,hasGreenDemographicPressure-avg-percentage-2019Until2021,34.0
s-Hertogenbosch,hasGreyDemographicPressure-avg-percentage-2019Until2021,29.8
s-Hertogenbosch,hasJobsInA-AgricultureForestryFishing-avg-percentage-2019Until2021,1.0725806451612903
s-Hertogenbosch,hasJobsInCommercialService-avg-percentage-2019Until2021,52.66935483870967
s-Hertogenbosch,hasJobsInIndustryEnergy-avg-percentage-2019Until2021,15.040322580645162
s-Hertogenbosch,hasJobsInNon-CommercialServe-avg-percentage-2019Until2021,30.881720430107524
s-Hertogenbosch,hasLiveBornChildren-avg-2019Until2021,1585.0
s-Hertogenbosch,hasNewFormations-avg-2018Until2020,438.6666666666667
s-Hertogenbosch,hasNewFormations-avg-2019Until2021,325.9516129032258
s-Hertogenbosch,hasNumberOfBirth-avg-2019Until2021,1147.3333333333333
s-Hertogenbosch,hasNumberOfCardiovascularDisease-avg-2019Until2021,233.8790322580645
s-Hertogenbosch,hasNumberOfDeath-avg-2019Until2021,1074.239247311828
s-Hertogenbosch,hasNumberOfDivorced-2021,13508.0
s-Hertogenbosch,hasNumberOfGPPracticesWithin3Km-avg-2019Until2021,5.941129032258065
s-Hertogenbosch,hasNumberOfHospitalsWithin20Km-avg-2019Until2021,2.0080645161290325
s-Hertogenbosch,hasNumberOfMarried-2021,55002.0
s-Hertogenbosch,hasNumberOfMen-2021,76891.0
s-Hertogenbosch,hasNumberOfMen-avg,76566.0
s-Hertogenbosch,hasNumberOfMen-avg-2019Until2021,76566.0
s-Hertogenbosch,hasNumberOfMenInAgeGroup-20-65-avg,47234.0
s-Hertogenbosch,hasNumberOfMenInAgeGroup-65-75-avg,8188.333333333333
s-Hertogenbosch,hasNumberOfMenInAgeGroup-75-85-avg,3825.0
s-Hertogenbosch,hasNumberOfMenInAgeGroup-85-and-older-avg,963.6666666666666
s-Hertogenbosch,hasNumberOfMenInAgeGroupYoungerThanTwenty-avg,16355.0
s-Hertogenbosch,hasNumberOfMinorities-avg,11890.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-0-15-2021,23408.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-10-15-avg-2019Until2021,8059.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-15-20-avg-2019Until2021,8483.333333333334
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-15-25-2021,17868.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-20-25-avg-2019Until2021,9516.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-25-45-2021,42140.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-25-45-avg-2019Until2021,41681.333333333336
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-45-65-2021,43258.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-45-65-avg-2019Until2021,43402.333333333336
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-5-10-avg-2019Until2021,8046.666666666667
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-65-80-avg-2019Until2021,21761.333333333332
