Predicate,Weight
hasPopulationDensityPerSquareKm-2021,1
hasPopulationSize-2021,1
hasDepartureToAnotherMunicipality-avg-2019Until2021,1
hasDiseasesOfTheCardiovascularSystem-avg-2018Until2020,1
hasDiseasesOfTheRespiratorySystem-avg-2018Until2020,1
hasGraduatesOfDoctorate-avg-2019Until2021,-1
hasGraduatesOfHigherVocationalEducation-avg-2019Until2021,-1
hasGraduatesOfPost-SecondaryVocationalEducation-avg-2019Until2021,-1
hasGraduatesOfSecondaryEducation-avg-2019Until2021,-1
hasJobsInA-AgricultureForestryFishing-avg-percentage-2019Until2021,-1
hasJobsInCommercialService-avg-percentage-2019Until2021,-1
hasJobsInIndustryEnergy-avg-percentage-2019Until2021,-1
hasJobsInNon-CommercialServe-avg-percentage-2019Until2021,-1
hasNumberOfBirth-avg-2019Until2021,-1
hasNumberOfCardiovascularDisease-avg-2019Until2021,1
hasNumberOfDeath-avg-2019Until2021,1
hasNumberOfRespiratorySystemDisease-avg-2019Until2021,1
"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,15-25-years",1
"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,15-25-years",1
